"","PDX22","PDX43","PDX59","G83","PDX10","HK281"
"ENSG00000272004.1",3.07,6.15,17.77,18.06,0,0
"ENSG00000189339.12",2500.44,4476.18,3385.23,4544.15,1240.68,6580.15
"ENSG00000269737.2",0,0,0,0,1.78,0
"ENSG00000215914.4",0,12.31,2.96,0,0,4.1
"ENSG00000008128.23",98.22,62.57,77,73.19,51.66,102.51
"ENSG00000268575.1",41.95,135.39,77,96.95,72.14,201.95
"ENSG00000227775.3",5.12,10.26,5.92,5.7,8.91,0
"ENSG00000215790.8",104.36,206.17,149.07,74.14,107.77,456.17
"ENSG00000008130.15",4624.38,2700.68,5175.08,3283.84,1409.01,3352.09
"ENSG00000078369.18",31126.61,21451.6,31469.1,20927.22,20358.5,41875.53
"ENSG00000231050.1",5.12,4.1,52.32,30.41,7.13,49.21
"ENSG00000169885.10",3.07,14.36,1.97,32.32,5.34,2.05
"ENSG00000178821.13",21.48,217.45,47.39,139.72,0,8.2
"ENSG00000142609.19",0,20.51,0,17.11,9.8,0
"ENSG00000233542.2",0,2.05,0,48.47,32.06,0
"ENSG00000187730.9",0,8.21,0,607.34,168.33,0
"ENSG00000226969.1",0,0,0,5.7,0,0
"ENSG00000067606.17",229.17,700.56,431.42,2175.6,393.67,159.92
"ENSG00000271806.1",0,0,0,0,0,0
"ENSG00000182873.5",29.67,218.48,12.83,43.72,96.19,26.65
"ENSG00000162585.17",2521.93,3403.29,5452.5,2801.95,1267.4,2315.71
"ENSG00000234396.3",0,0,1.97,0,1.78,0
"ENSG00000157933.10",6083.32,8840.55,6709.25,3992.88,4536.08,4456.13
"ENSG00000287356.1",21.48,178.47,52.32,105.5,98.86,113.79
"ENSG00000116151.14",229.17,390.79,499.54,412.5,472.04,756.53
"ENSG00000272161.1",0,11.28,0,0,5.34,13.33
"ENSG00000269896.2",20.46,93.34,106.62,52.28,349.14,243.97
"ENSG00000272420.1",2.05,10.26,1.97,5.7,3.56,11.28
"ENSG00000157916.20",7494.16,6473.22,8379.65,5437.58,2888.38,11719
"ENSG00000157911.11",2061.53,1018.53,2060.36,1918.98,1959.43,2182.45
"ENSG00000149527.18",10.23,666.71,0,22.81,8.91,18.45
"ENSG00000224387.1",0,0,0,0,0,0
"ENSG00000229393.1",0,0,0,0,0.89,0
"ENSG00000157881.16",1306.49,1188.79,1441.36,2084.36,765.96,1948.72
"ENSG00000197921.6",0,4.1,3.95,0,1.78,0
"ENSG00000272449.2",28.65,29.75,31.59,85.54,0,26.65
"ENSG00000238164.6",45.02,11.28,3.95,0,27.61,3.08
"ENSG00000157873.18",2222.16,806.2,288.27,67.48,822.96,1094.81
"ENSG00000225931.3",7.16,0,0,0,0,2.05
"ENSG00000228037.1",6.14,6.15,0,0.95,8.91,2.05
"ENSG00000157870.17",2880.01,2515.03,3942.03,1365.81,1760.82,1135.82
"ENSG00000142606.16",2.05,244.12,57.26,3.8,8.91,10.25
"ENSG00000237058.1",0,0,0,0,0,0
"ENSG00000215912.12",2.05,28.72,27.64,72.23,134.49,32.8
"ENSG00000285945.1",0,0,0,0,0,0
"ENSG00000283259.1",0,0,0,1.9,0,0
"ENSG00000233234.1",0,0,0,0,0,0
"ENSG00000287396.1",14.32,0,3.95,0,1.78,0
"ENSG00000231630.1",0,0,0,0,0,0
"ENSG00000284745.1",0,0,0,0,0,0
"ENSG00000169717.7",0,0,0,0,0,0
"ENSG00000177133.12",0,2.05,0,132.11,28.5,0
"ENSG00000142611.17",0,30.77,23.69,769.87,196.83,6.15
"ENSG00000283572.1",0,0,0,0,0,0
"ENSG00000226286.1",0,0,0,0,0,0
"ENSG00000279839.1",0,0,0,0,0,0
"ENSG00000272235.1",10.23,0,0,0,24.94,2.05
"ENSG00000287828.1",36.83,6.15,0,8.55,49.88,0
"ENSG00000286518.1",0,0,0,0,0,0
"ENSG00000130762.15",109.47,45.13,3.95,1128.2,123.8,33.83
"ENSG00000272088.1",0,0,0,0.95,0,0
"ENSG00000162591.16",367.29,209.24,7.9,250.92,78.38,27.68
"ENSG00000207776.1",1.02,0,0,0,0,0
"ENSG00000238260.1",8.18,0,10.86,12.36,1.78,20.5
"ENSG00000158109.15",3847.86,1949.87,3382.27,1478.92,781.1,3361.32
"ENSG00000116213.16",1241.01,3921.27,2774.13,1990.26,788.23,2905.15
"ENSG00000078900.15",0,1060.58,174.74,1509.33,806.93,127.11
"ENSG00000227589.1",0,2.05,0,0,0,2.05
"ENSG00000235131.1",0,0,0,0,0,0
"ENSG00000227372.12",1254.31,2742.74,2602.35,0,484.51,3045.59
"ENSG00000276189.1",0,2.05,0,0,0,0
"ENSG00000162592.10",1.02,0,0,0,0,0
"ENSG00000235169.11",2.05,210.27,115.51,46.57,0,72.78
"ENSG00000130764.10",5194.25,4844.41,5447.56,4275.17,3048.7,4704.21
"ENSG00000266075.2",0,8.21,3.95,1.9,0,0
"ENSG00000272153.1",0,24.62,1.97,0,3.56,0
"ENSG00000116198.14",2514.76,1200.07,2449.33,2624.22,1342.21,4614
"ENSG00000169598.17",328.41,465.67,527.18,788.88,263.63,752.43
"ENSG00000198912.12",2431.89,1792.93,1892.53,2549.13,820.29,3500.73
"ENSG00000236423.6",23.53,16.41,9.87,44.67,26.72,53.31
"ENSG00000233304.7",2.05,0,0,0,0,0
"ENSG00000226374.3",0,0,0,0,0,0
"ENSG00000284668.2",0,0,32.58,0,0,0
"ENSG00000284703.1",0,0,0,0,0,0
"ENSG00000229280.1",0,0,0,0,0,0
"ENSG00000235054.4",4.09,0,0,0,0,0
"ENSG00000284694.1",0,0,0,0,0,0
"ENSG00000227169.2",0,0,0,0,0,0
"ENSG00000232596.3",0,0,0,0,0,0
"ENSG00000196581.11",0,35.9,0,444.82,0,4.1
"ENSG00000287586.1",0,0,0,0,0,0
"ENSG00000284739.1",0,0,0,0,0,0
"ENSG00000284674.1",0,0,0,0,0,0
"ENSG00000231510.1",0,0,0,0,0.89,0
"ENSG00000284616.1",0,0,0,0,0,0
"ENSG00000284692.2",0,0,0,0,0,0
"ENSG00000284666.1",0,0,0,0,0,0
"ENSG00000260972.1",0,0,0,0,0,0
"ENSG00000283356.1",0,0,0,0,0,0
"ENSG00000236948.2",0,0,0,0,0,0
"ENSG00000264341.1",0,0,0,0,0,0
"ENSG00000264101.1",0,0,0,0.95,0,4.1
"ENSG00000131697.18",1150.98,669.79,1295.25,1314.49,748.15,2433.6
"ENSG00000069424.15",5973.85,1147.76,450.18,90.29,833.65,3046.61
"ENSG00000116254.18",12.28,158.98,0,90.29,1181,20.5
"ENSG00000285629.1",0,0,0,0,0,0
"ENSG00000116251.11",6535.52,2940.7,1927.08,4636.34,1699.36,3490.48
"ENSG00000226944.1",8.18,17.44,56.27,17.11,0,31.78
"ENSG00000158286.13",428.68,220.53,122.42,929.55,1.78,657.09
"ENSG00000116237.16",11326.67,7378.92,9525.83,5910.91,5518.47,11295.63
"ENSG00000225077.3",12.28,17.44,43.44,55.13,20.48,85.08
"ENSG00000173673.8",0,4.1,0,0,1.78,0
"ENSG00000158292.7",207.69,25172.85,1091.88,906.74,3258.89,260.38
"ENSG00000097021.20",7629.21,3891.53,11015.57,4103.13,3736.28,2833.39
"ENSG00000271746.1",0,6.15,13.82,3.8,7.13,6.15
"ENSG00000069812.11",515.64,136.42,25.67,0,450.67,42.03
"ENSG00000187017.17",0,2530.41,264.58,13.31,32.95,63.56
"ENSG00000265392.1",0,0,0,0,0,0
"ENSG00000231868.1",0,0,0,0,0,0
"ENSG00000215788.11",30.69,332.33,815.46,157.78,1737.66,508.45
"ENSG00000171680.23",310,1283.16,5195.82,687.18,5890.76,2095.31
"ENSG00000162408.11",2269.22,775.43,1114.59,2635.62,1473.14,1034.33
"ENSG00000253022.1",0,0,0,0,0,0
"ENSG00000229519.2",0,0,0,0,0,0
"ENSG00000173662.21",0,716.97,5.92,1.9,63.24,4.1
"ENSG00000204859.13",989.33,927.24,1091.88,1031.25,864.82,1210.65
"ENSG00000162413.16",16181.25,3526.37,2651.71,2033.03,3192.09,3845.17
"ENSG00000116273.6",2099.39,4687.47,3093.99,3003.45,1727.86,3814.41
"ENSG00000041988.15",983.19,1006.22,1178.76,883.93,442.65,1729.35
"ENSG00000007923.16",8858.97,2962.24,3704.1,6818.6,2909.76,4787.24
"ENSG00000228750.7",0,0,0,0,0,0
"ENSG00000284744.1",0,0,0,0,0,0
"ENSG00000237436.1",2.05,3.08,8.89,19.96,3.56,6.15
"ENSG00000171735.19",1340.25,1306.75,1518.37,1601.52,872.84,2801.61
"ENSG00000227950.1",0,0,0,0,0,0
"ENSG00000237365.1",0,0,0,0,0,0
